"Date","Time","Open","High","Low","Close","Up","Down"
01/02/2007,17:00,860.2,864.5,859.5,863.6,8775,9318
01/03/2007,17:00,864.0,868.3,848.0,850.4,54747,66205
01/04/2007,17:00,850.3,853.8,843.4,844.3,37648,35143
01/05/2007,17:00,844.6,848.9,824.1,829.5,68519,72556
01/08/2007,17:00,830.3,833.4,826.0,832.4,33585,31903
01/09/2007,17:00,832.0,838.4,828.0,836.0,36378,35664
01/10/2007,17:00,835.8,836.1,827.2,833.3,33617,33540
01/11/2007,17:00,833.0,838.0,830.9,832.9,32869,34417
01/12/2007,17:00,832.5,849.8,831.7,848.6,46650,43871
01/15/2007,17:00,847.9,850.0,846.7,848.2,6749,9113
01/16/2007,17:00,848.5,850.0,844.3,846.3,31199,33480
01/17/2007,17:00,846.4,855.8,841.6,853.6,44591,43678
01/18/2007,17:00,854.0,858.4,848.0,848.2,41209,44629
01/19/2007,17:00,848.5,858.0,848.0,857.5,32784,29449
01/22/2007,17:00,856.7,861.2,853.2,854.6,1324,2081
01/23/2007,17:00,853.5,869.3,853.2,868.2,3891,3106
01/24/2007,17:00,867.7,870.2,860.0,869.4,2865,4574
01/25/2007,17:00,869.2,876.0,866.1,866.6,6922,5527
01/26/2007,17:00,866.4,869.1,861.7,866.6,6085,5373
01/29/2007,17:00,866.7,868.7,861.4,863.8,9962,11539
01/30/2007,17:00,863.3,868.2,861.6,867.6,24137,22179
01/31/2007,17:00,866.6,875.5,862.4,873.2,64838,57241
02/01/2007,17:00,873.0,882.0,872.2,877.5,50625,49687
02/02/2007,17:00,877.2,880.1,862.9,867.6,62922,66733
02/05/2007,17:00,867.9,872.2,866.0,868.5,31022,29477
02/06/2007,17:00,867.9,878.5,867.8,872.8,43781,42216
02/07/2007,17:00,873.0,876.8,869.8,871.2,35418,36069
02/08/2007,17:00,871.3,880.9,867.3,880.2,58872,56263
02/09/2007,17:00,879.9,888.7,876.4,886.4,60200,56449
02/12/2007,17:00,888.2,888.3,878.9,880.1,43661,49154
02/13/2007,17:00,880.9,888.7,879.9,883.4,45770,44808
02/14/2007,17:00,883.8,891.4,882.8,888.1,49716,46892
02/15/2007,17:00,888.5,889.8,881.3,888.3,44483,44895
